HYD,IRR,ENV,RCP,MODEL
14.24,120.59,2272.95,26.00,1.00
14.21,127.68,2274.12,26.00,1.00
14.17,134.24,2275.28,26.00,1.00
14.13,140.26,2276.42,26.00,1.00
14.09,145.78,2277.53,26.00,1.00
14.06,150.79,2278.58,26.00,1.00
14.02,155.33,2279.55,26.00,1.00
13.98,159.63,2280.38,26.00,1.00
13.94,164.92,2281.70,26.00,1.00
13.89,171.40,2283.21,26.00,1.00
13.83,179.09,2284.79,26.00,1.00
13.77,188.00,2286.73,26.00,1.00
13.70,197.93,2288.81,26.00,1.00
13.62,207.84,2290.82,26.00,1.00
13.55,217.56,2292.70,26.00,1.00
13.48,227.08,2294.76,26.00,1.00
13.41,236.43,2296.93,26.00,1.00
13.34,245.63,2299.10,26.00,1.00
13.27,254.94,2301.56,26.00,1.00
13.20,264.42,2304.01,26.00,1.00
13.13,274.06,2306.35,26.00,1.00
13.05,283.89,2308.64,26.00,1.00
12.98,293.94,2310.80,26.00,1.00
12.90,304.35,2312.68,26.00,1.00
12.82,315.13,2314.29,26.00,1.00
12.74,326.28,2315.72,26.00,1.00
12.66,337.74,2316.84,26.00,1.00
12.58,349.26,2319.31,26.00,1.00
12.52,359.34,2320.97,26.00,1.00
12.46,367.73,2322.21,26.00,1.00
12.42,374.42,2323.09,26.00,1.00
12.39,379.42,2323.66,26.00,1.00
12.37,382.92,2323.99,26.00,1.00
12.35,385.91,2324.26,26.00,1.00
12.33,388.58,2324.51,26.00,1.00
12.32,390.92,2324.74,26.00,1.00
12.30,392.96,2324.95,26.00,1.00
12.29,394.69,2325.14,26.00,1.00
12.28,396.29,2325.31,26.00,1.00
12.27,397.81,2325.48,26.00,1.00
12.26,399.25,2325.63,26.00,1.00
12.25,400.59,2325.77,26.00,1.00
12.25,401.61,2325.88,26.00,1.00
12.26,400.87,2325.82,26.00,1.00
12.28,398.12,2325.54,26.00,1.00
12.31,393.35,2325.01,26.00,1.00
12.36,386.60,2324.14,26.00,1.00
12.42,378.15,2322.95,26.00,1.00
12.48,370.01,2321.67,26.00,1.00
12.53,362.47,2320.41,26.00,1.00
12.58,355.50,2319.19,26.00,1.00
12.62,349.12,2317.97,26.00,1.00
12.66,343.27,2316.77,26.00,1.00
12.70,337.53,2316.23,26.00,1.00
12.74,331.84,2315.60,26.00,1.00
12.78,326.20,2314.89,26.00,1.00
12.82,320.65,2314.11,26.00,1.00
12.86,315.21,2313.30,26.00,1.00
12.89,310.13,2312.58,26.00,1.00
12.93,305.47,2311.80,26.00,1.00
12.96,301.23,2311.03,26.00,1.00
12.98,297.40,2310.30,26.00,1.00
13.01,293.96,2309.61,26.00,1.00
13.03,290.77,2308.95,26.00,1.00
13.05,287.80,2308.33,26.00,1.00
13.07,285.05,2307.74,26.00,1.00
13.09,282.52,2307.20,26.00,1.00
13.10,280.22,2306.69,26.00,1.00
13.12,278.09,2306.23,26.00,1.00
13.13,276.13,2305.79,26.00,1.00
13.14,274.35,2305.39,26.00,1.00
13.16,272.74,2305.03,26.00,1.00
13.17,271.33,2304.71,26.00,1.00
13.17,270.27,2304.48,26.00,1.00
13.18,269.60,2304.34,26.00,1.00
13.18,269.31,2304.29,26.00,1.00
13.18,269.40,2304.33,26.00,1.00
13.17,269.81,2304.44,26.00,1.00
13.17,270.13,2304.53,26.00,1.00
13.17,270.31,2304.58,26.00,1.00
13.17,270.35,2304.60,26.00,1.00
13.17,270.23,2304.58,26.00,1.00
13.17,269.94,2304.52,26.00,1.00
13.18,269.26,2304.38,26.00,1.00
13.18,268.15,2304.14,26.00,1.00
13.20,266.63,2303.81,26.00,1.00
13.21,264.68,2303.37,26.00,1.00
13.23,262.37,2302.83,26.00,1.00
13.24,260.09,2302.26,26.00,1.00
13.26,257.89,2301.71,26.00,1.00
13.27,255.77,2301.20,26.00,1.00
13.29,253.73,2300.70,26.00,1.00
13.30,251.78,2300.22,26.00,1.00
13.31,249.91,2299.75,26.00,1.00
13.33,248.13,2299.30,26.00,1.00
14.24,120.59,2272.95,26.00,1.00
14.21,127.68,2274.12,26.00,1.00
14.17,134.24,2275.28,26.00,1.00
14.13,140.26,2276.42,26.00,1.00
14.09,145.78,2277.53,26.00,1.00
14.06,150.79,2278.58,26.00,1.00
14.02,155.33,2279.55,26.00,1.00
13.98,159.63,2280.39,26.00,1.00
13.94,164.92,2281.70,26.00,1.00
13.89,171.40,2283.21,26.00,1.00
13.83,179.09,2284.78,26.00,1.00
13.77,188.00,2286.73,26.00,1.00
13.70,197.92,2288.81,26.00,1.00
13.62,207.83,2290.82,26.00,1.00
13.55,217.53,2292.69,26.00,1.00
13.48,227.04,2294.75,26.00,1.00
13.41,236.37,2296.92,26.00,1.00
13.34,245.55,2299.08,26.00,1.00
13.27,254.84,2301.53,26.00,1.00
13.20,264.30,2303.99,26.00,1.00
13.13,273.92,2306.31,26.00,1.00
13.05,283.72,2308.60,26.00,1.00
